Candidate_ID,Age,Gender,Education_Level,Position_Applied,Industry,Interview_Round,Interview_Mode,Start_Time,End_Time,Duration_Minutes,Camera_On,Microphone_Clarity,Network_Stability_Score,Technical_Questions_Answered,Behavioral_Questions_Answered,Coding_Test_Score,Eye_Contact_Score,Body_Language_Score,Speech_Speed_WPM,Filler_Words_Used,Confidence_Score,Response_Relevance_Score,Interviewer_Rating,Background_Noise_Level,Follow_Up_Questions_Asked,Dressing_Appropriateness,Time_Management_Score,Final_Recommendation,Offer_Extended
C2000,24,Male,Bachelors,UI/UX Designer,Consulting,Managerial,Skype,12:00,14:45,40,Yes,Poor,1.31,0,1,6,5,3,109,7,7,8,3.18,Medium,1,Semi-Formal,5,Hold,No
C2001,28,Non-binary,Bachelors,UI/UX Designer,Tech,HR,Zoom,12:00,09:30,58,No,Moderate,7.92,2,3,96,4,1,107,0,7,5,3.36,Low,1,Semi-Formal,5,Hold,Yes
C2002,21,Male,Masters,Software Engineer,Finance,HR,Zoom,12:00,09:30,38,Yes,Moderate,7.95,8,3,52,2,9,128,19,4,1,2.36,Medium,2,Casual,9,Hold,Yes
C2003,33,Female,PhD,Software Engineer,Healthcare,HR,Google Meet,15:30,11:00,25,No,Poor,6.81,1,4,6,5,4,153,15,1,9,3.08,High,1,Formal,3,Hold,Yes
C2004,22,Non-binary,Bachelors,Data Analyst,Consulting,Managerial,Skype,12:00,16:00,28,No,Clear,4.11,4,0,95,1,1,111,14,7,2,2.57,High,0,Formal,3,Proceed,No
C2005,22,Male,Masters,Software Engineer,Education,Technical,Skype,12:00,16:00,23,No,Poor,5.74,1,4,92,3,1,118,2,5,2,4.69,High,1,Semi-Formal,9,Proceed,Yes
C2006,25,Female,Bachelors,Data Analyst,Consulting,HR,Zoom,10:30,11:00,39,Yes,Poor,6.15,5,2,29,6,1,154,17,5,1,1.1,Low,1,Casual,4,Reject,Yes
C2007,32,Male,Bachelors,UI/UX Designer,Tech,Managerial,Teams,14:00,16:00,22,No,Poor,6.79,1,0,76,4,7,111,1,9,4,4.47,High,2,Semi-Formal,6,Hold,Yes
C2008,22,Male,PhD,UI/UX Designer,Consulting,HR,Zoom,14:00,12:45,28,Yes,Moderate,2.34,9,3,53,4,9,93,4,3,6,1.31,Low,1,Semi-Formal,5,Reject,No
C2009,28,Female,Bachelors,UI/UX Designer,Tech,HR,Skype,14:00,11:00,46,Yes,Clear,5.16,4,3,37,9,5,96,14,5,6,3.18,Medium,0,Casual,2,Hold,No
C2010,23,Female,Masters,Project Manager,Consulting,Final,Google Meet,15:30,16:00,24,Yes,Clear,9.98,5,0,81,4,6,109,6,2,2,4.99,Medium,0,Casual,9,Proceed,Yes
C2011,23,Non-binary,Bachelors,Software Engineer,Finance,HR,Teams,09:00,11:00,23,Yes,Poor,1.76,8,2,29,4,3,127,16,5,9,1.83,Low,2,Semi-Formal,9,Proceed,No
C2012,28,Male,Masters,Data Analyst,Education,Managerial,Zoom,09:00,11:00,38,Yes,Clear,0.78,7,4,84,3,1,159,5,5,4,2.71,Low,1,Casual,2,Reject,No
C2013,21,Non-binary,Bachelors,Software Engineer,Tech,HR,Skype,10:30,11:00,56,No,Poor,0.69,7,2,29,2,5,120,9,2,6,2.8,Low,2,Casual,9,Proceed,Yes
C2014,24,Female,Masters,Data Analyst,Consulting,Final,Google Meet,09:00,16:00,35,Yes,Poor,6.67,7,1,17,8,8,140,10,9,5,3.69,Medium,0,Casual,9,Reject,Yes
C2015,27,Female,Masters,UI/UX Designer,Healthcare,Technical,Teams,09:00,16:00,41,Yes,Moderate,8.15,7,0,61,3,3,95,12,3,3,2.25,Medium,1,Formal,8,Proceed,No
C2016,25,Male,Bachelors,Data Analyst,Tech,HR,Skype,14:00,12:45,35,Yes,Clear,2.37,0,3,97,6,6,112,3,1,3,4.3,Medium,0,Casual,7,Proceed,No
C2017,33,Female,Masters,UI/UX Designer,Finance,Managerial,Google Meet,14:00,11:00,40,No,Poor,0.34,7,1,28,2,5,147,0,4,8,1.84,Medium,2,Semi-Formal,5,Reject,Yes
C2018,33,Male,Masters,Data Analyst,Finance,Managerial,Zoom,15:30,16:00,53,No,Clear,7.15,0,2,48,8,3,112,10,4,5,4.98,Low,2,Semi-Formal,5,Reject,Yes
C2019,23,Non-binary,Bachelors,UI/UX Designer,Healthcare,HR,Teams,09:00,12:45,24,No,Clear,7.47,9,2,44,9,3,144,10,5,7,4.36,Low,1,Formal,9,Proceed,Yes
C2020,28,Male,Bachelors,Project Manager,Consulting,HR,Teams,15:30,14:45,35,Yes,Clear,2.64,7,3,50,5,9,104,3,3,1,1.14,High,2,Semi-Formal,9,Hold,No
C2021,25,Female,Bachelors,UI/UX Designer,Consulting,Technical,Teams,12:00,12:45,21,No,Poor,0.15,2,1,19,9,3,96,5,8,6,3.8,Medium,1,Semi-Formal,4,Hold,Yes
C2022,26,Non-binary,PhD,Software Engineer,Consulting,Technical,Google Meet,10:30,16:00,32,Yes,Moderate,8.0,0,2,30,1,9,122,6,7,7,1.6,Medium,2,Casual,8,Proceed,No
C2023,21,Non-binary,Masters,Data Analyst,Consulting,Technical,Skype,10:30,14:45,51,No,Poor,3.61,8,4,46,8,4,150,9,1,7,4.25,Low,1,Semi-Formal,9,Reject,No
C2024,23,Male,Masters,UI/UX Designer,Consulting,Final,Skype,12:00,09:30,33,No,Moderate,5.2,3,4,99,2,6,125,4,1,6,2.51,Medium,1,Semi-Formal,3,Proceed,No
C2025,30,Non-binary,PhD,UI/UX Designer,Healthcare,Managerial,Teams,10:30,16:00,40,No,Clear,9.0,2,4,82,8,9,106,2,8,8,2.02,High,0,Casual,1,Hold,Yes
C2026,24,Male,PhD,UI/UX Designer,Finance,HR,Zoom,09:00,12:45,23,Yes,Clear,2.06,8,1,12,1,2,158,15,5,4,1.37,Low,0,Formal,1,Proceed,No
C2027,34,Non-binary,Masters,UI/UX Designer,Healthcare,HR,Skype,15:30,14:45,29,No,Clear,1.3,1,3,76,1,7,134,8,2,6,2.09,High,0,Formal,8,Hold,Yes
C2028,30,Female,Bachelors,Project Manager,Education,HR,Skype,09:00,11:00,35,Yes,Clear,5.82,3,0,44,9,1,135,13,8,6,1.23,High,0,Casual,8,Reject,Yes
C2029,30,Female,PhD,Project Manager,Education,Final,Skype,10:30,12:45,30,Yes,Moderate,6.66,2,4,69,3,7,157,0,8,2,4.96,Medium,1,Casual,9,Reject,Yes
C2030,32,Female,PhD,Data Analyst,Tech,Managerial,Zoom,09:00,16:00,52,Yes,Poor,3.94,7,3,56,1,5,150,1,7,5,2.05,Medium,1,Formal,1,Reject,Yes
C2031,24,Non-binary,Bachelors,Project Manager,Consulting,Technical,Skype,10:30,12:45,41,Yes,Moderate,0.32,5,2,86,8,6,98,17,7,6,2.2,Medium,0,Formal,3,Hold,No
C2032,25,Female,Bachelors,Software Engineer,Finance,Final,Google Meet,15:30,11:00,30,Yes,Poor,0.89,1,0,27,4,9,148,8,2,5,2.41,Medium,2,Formal,8,Reject,No
C2033,33,Female,Masters,Software Engineer,Tech,Final,Google Meet,10:30,09:30,47,Yes,Clear,2.68,8,2,0,1,3,125,5,4,7,2.7,Low,0,Formal,4,Reject,No
C2034,29,Female,Bachelors,Software Engineer,Education,Managerial,Teams,12:00,12:45,53,Yes,Clear,2.2,2,1,54,9,7,91,5,9,8,2.33,Low,1,Formal,9,Hold,Yes
C2035,24,Non-binary,PhD,Data Analyst,Tech,Managerial,Skype,10:30,16:00,30,Yes,Poor,3.15,5,1,5,2,4,100,4,9,7,3.33,High,2,Formal,9,Hold,Yes
C2036,27,Non-binary,Masters,Data Analyst,Education,HR,Zoom,12:00,14:45,26,Yes,Clear,5.39,8,1,62,1,1,113,16,2,2,3.44,Medium,1,Formal,7,Proceed,Yes
C2037,28,Female,Masters,Data Analyst,Education,Managerial,Skype,15:30,09:30,34,No,Moderate,0.56,0,3,55,1,6,144,16,2,8,1.18,Low,2,Formal,2,Proceed,No
C2038,32,Female,Masters,Software Engineer,Healthcare,Technical,Teams,10:30,09:30,39,Yes,Poor,2.26,5,2,55,2,4,118,7,2,6,3.25,Low,1,Semi-Formal,8,Hold,Yes
C2039,27,Female,Bachelors,UI/UX Designer,Tech,HR,Google Meet,15:30,11:00,35,Yes,Poor,8.0,9,1,96,9,1,92,13,5,5,4.49,Low,0,Casual,7,Reject,Yes
C2040,22,Non-binary,Bachelors,UI/UX Designer,Education,HR,Zoom,14:00,09:30,48,No,Poor,1.68,8,1,47,8,5,107,6,8,6,1.63,Low,0,Semi-Formal,7,Hold,Yes
C2041,33,Female,Bachelors,Software Engineer,Finance,Final,Teams,14:00,09:30,24,No,Moderate,2.99,8,1,20,4,1,110,19,3,8,2.32,High,1,Formal,9,Reject,Yes
C2042,21,Male,Bachelors,Project Manager,Education,Final,Skype,10:30,09:30,40,Yes,Poor,4.57,9,2,76,2,1,133,6,9,6,3.43,Low,2,Casual,4,Reject,No
C2043,25,Female,PhD,Data Analyst,Healthcare,Final,Skype,14:00,16:00,34,Yes,Poor,1.62,1,1,80,9,5,123,19,1,7,3.5,Medium,2,Casual,8,Reject,No
C2044,28,Male,PhD,Data Analyst,Tech,HR,Zoom,09:00,09:30,25,No,Clear,7.59,5,0,94,8,4,131,8,5,6,1.3,High,1,Casual,9,Proceed,Yes
C2045,32,Non-binary,Masters,UI/UX Designer,Education,Technical,Zoom,09:00,12:45,42,Yes,Poor,0.28,9,2,79,5,6,156,1,8,7,2.7,Low,1,Semi-Formal,5,Hold,No
C2046,21,Non-binary,PhD,UI/UX Designer,Consulting,Final,Skype,12:00,09:30,48,Yes,Moderate,4.28,1,1,47,2,3,145,5,2,9,1.15,Low,0,Casual,1,Reject,No
C2047,33,Male,Bachelors,Project Manager,Consulting,Final,Google Meet,14:00,11:00,20,Yes,Moderate,5.47,6,2,63,3,4,97,2,6,9,4.71,Medium,1,Formal,3,Hold,Yes
C2048,22,Non-binary,Bachelors,UI/UX Designer,Education,Final,Teams,12:00,09:30,24,Yes,Clear,1.24,3,4,44,8,3,149,5,3,7,3.71,High,0,Casual,4,Proceed,No
C2049,33,Male,PhD,Project Manager,Tech,Managerial,Google Meet,14:00,12:45,28,No,Moderate,6.88,8,0,44,8,2,147,17,9,2,1.4,Low,1,Formal,4,Hold,No
C2050,33,Male,PhD,Data Analyst,Healthcare,HR,Skype,09:00,11:00,34,Yes,Clear,0.97,7,2,16,7,4,92,8,7,7,3.61,High,0,Semi-Formal,5,Hold,No
C2051,29,Female,PhD,Software Engineer,Finance,Managerial,Skype,14:00,16:00,52,Yes,Clear,5.56,5,0,71,9,2,102,19,9,7,1.39,High,0,Formal,3,Reject,No
C2052,26,Female,Bachelors,Software Engineer,Tech,HR,Zoom,09:00,11:00,43,No,Moderate,8.97,3,3,41,7,1,132,0,6,3,1.23,Medium,0,Semi-Formal,3,Proceed,No
C2053,21,Non-binary,Bachelors,UI/UX Designer,Healthcare,Technical,Google Meet,09:00,12:45,56,No,Poor,1.65,2,1,88,3,5,137,12,9,3,1.86,High,0,Semi-Formal,2,Proceed,Yes
C2054,28,Female,Masters,Data Analyst,Education,Managerial,Skype,15:30,11:00,25,Yes,Moderate,5.71,8,3,63,1,6,98,15,2,4,4.89,Low,2,Semi-Formal,9,Proceed,No
C2055,23,Non-binary,Masters,Software Engineer,Finance,Final,Google Meet,09:00,14:45,58,Yes,Moderate,8.24,5,3,94,3,5,157,18,2,5,3.32,Medium,2,Formal,3,Hold,No
C2056,34,Non-binary,Masters,Data Analyst,Tech,Managerial,Teams,09:00,12:45,30,Yes,Moderate,2.15,2,3,91,2,4,135,17,4,3,2.3,Medium,1,Semi-Formal,2,Proceed,No
C2057,24,Non-binary,PhD,UI/UX Designer,Education,Managerial,Skype,12:00,11:00,44,No,Clear,0.19,3,2,51,6,6,140,0,5,3,1.26,Low,2,Formal,4,Reject,Yes
C2058,30,Non-binary,PhD,UI/UX Designer,Finance,Technical,Teams,14:00,09:30,37,No,Clear,0.21,7,0,39,5,1,119,8,9,2,1.06,High,0,Casual,8,Proceed,No
C2059,25,Male,Bachelors,Data Analyst,Education,Final,Skype,10:30,11:00,41,Yes,Moderate,2.45,3,1,63,9,2,143,17,2,8,4.58,Medium,2,Casual,7,Proceed,No
C2060,29,Male,PhD,Software Engineer,Consulting,Final,Skype,10:30,09:30,33,Yes,Moderate,7.16,3,2,7,8,7,155,19,8,9,2.92,High,0,Formal,1,Reject,No
C2061,25,Female,Bachelors,UI/UX Designer,Consulting,Technical,Teams,09:00,14:45,29,Yes,Clear,3.39,8,1,50,5,6,127,19,5,4,1.36,Low,0,Casual,7,Proceed,Yes
C2062,26,Non-binary,Bachelors,Software Engineer,Healthcare,Final,Zoom,14:00,16:00,36,No,Moderate,4.79,2,0,65,2,2,134,15,9,2,3.18,Medium,1,Formal,2,Proceed,No
C2063,34,Male,PhD,UI/UX Designer,Finance,Technical,Zoom,15:30,12:45,48,Yes,Moderate,0.58,9,3,72,6,5,159,4,5,7,1.26,Low,0,Casual,8,Hold,Yes
C2064,27,Male,PhD,UI/UX Designer,Consulting,Technical,Skype,10:30,16:00,25,No,Clear,8.81,1,4,49,5,6,127,15,2,3,2.62,Low,2,Formal,9,Proceed,No
C2065,33,Male,Bachelors,Data Analyst,Education,Final,Teams,12:00,11:00,26,No,Moderate,4.1,6,1,19,4,7,146,10,8,4,4.64,Medium,0,Formal,3,Reject,No
C2066,25,Non-binary,Bachelors,Data Analyst,Healthcare,HR,Zoom,12:00,14:45,24,No,Clear,7.88,0,2,67,8,8,144,1,1,7,4.7,Medium,0,Formal,1,Reject,No
C2067,25,Male,Bachelors,Data Analyst,Consulting,Managerial,Skype,12:00,11:00,46,No,Poor,0.17,2,3,98,8,5,106,13,3,3,4.81,Low,1,Semi-Formal,7,Reject,No
C2068,22,Female,PhD,UI/UX Designer,Healthcare,Technical,Skype,15:30,14:45,54,No,Poor,7.0,9,1,59,8,2,94,19,4,8,1.57,Medium,2,Semi-Formal,3,Hold,No
C2069,34,Non-binary,Bachelors,Data Analyst,Finance,HR,Zoom,15:30,16:00,36,Yes,Clear,5.01,2,2,53,5,1,101,6,7,8,1.73,Low,1,Casual,7,Hold,Yes
C2070,22,Female,Masters,UI/UX Designer,Consulting,Managerial,Teams,15:30,14:45,26,No,Moderate,2.6,6,1,63,6,6,123,12,3,3,4.4,Medium,1,Formal,8,Proceed,Yes
C2071,26,Male,Bachelors,Project Manager,Consulting,Final,Zoom,14:00,11:00,20,No,Poor,7.16,9,4,42,3,6,150,4,1,6,1.41,Medium,1,Casual,6,Hold,Yes
